REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
5365011BC5956S,0.181771354021654,38.7813281543657,AV AUGUSTA 44 JAVEA/XABIA (ALICANTE),OK,7
03082A02200164,0.137235520422315,38.7756255260835,CR GATA 64 Polígono 22 Parcela 164 PLANET. JAVEA/XABIA (ALICANTE),OK,1
4330912BC5942N,,,,SIN_COORDENADAS,
03082A01600039,0.127876469908512,38.7704451067581,CM BENIMELLS 6(D) Polígono 16 Parcela 39 BENIMELLS. JAVEA/XABIA (ALICANTE),OK,1
03082A00900079,0.215381110088968,38.7556876511237,Polígono 9 Parcela 79 CAP MARTI. JAVEA/XABIA (ALICANTE),OK,12
03082A00400327,0.168094376420682,38.7997606817345,CM PLANA DE SANT JERONI LA  Polígono 4 Parcela 327 LA PLANA. JAVEA/XABIA (ALICANTE),OK,1
03082A02100514,0.12191364282175,38.7853228876297,Polígono 21 Parcela 514 VALLS. JAVEA/XABIA (ALICANTE),OK,1
3897004BC5937S,0.165511775415518,38.7860321249938,CL DEL FREGINAL 14 JAVEA/XABIA (ALICANTE),OK,9
03082A02100403,0.1170872094262,38.7882404348168,Polígono 21 Parcela 403 VALLS. JAVEA/XABIA (ALICANTE),OK,1
03082A00400007,0.163088266201485,38.8087339791706,CM COVA TALLADA 6(A) Polígono 4 Parcela 7 LA PLANA. JAVEA/XABIA (ALICANTE),OK,1
03082A03000004,0.140288921043464,38.7690906911213,Polígono 30 Parcela 4 TARRAULA. JAVEA/XABIA (ALICANTE),OK,1
3533927BC5933S,0.163203550568983,38.7538807860011,CM SABATERA LA 20 JAVEA/XABIA (ALICANTE),OK,1
03082A03100196,0.140118018942471,38.7733350248492,"CM RIBES LES 23 Polígono 31 Parcela 196 31/113,114,0017009BC5905S LA RIBA. JAVEA/XABIA (ALICANTE)",OK,1
03082A01600166,0.138988884109888,38.7680887134715,Polígono 16 Parcela 166 FONTANELLES. JAVEA/XABIA (ALICANTE),OK,1
03082A03000155,,,,SIN_COORDENADAS,
03082A00100171,0.138602417226673,38.7925324568807,CM DELS CASTELLANS 100 Polígono 1 Parcela 171 0022001BC5905N CASTELLANS. JAVEA/XABIA (ALICANTE),OK,2
03082A02100582,0.127144908793176,38.7860333932949,CL BENIMADROCS 35(D) Polígono 21 Parcela 582 BENIMADROC. JAVEA/XABIA (ALICANTE),OK,1
6645108BC5964N,0.19743241428463,38.7643341235288,CL ATENAS 54(A) JAVEA/XABIA (ALICANTE),OK,11
0015028BC5905N,0.16767971669754,38.8010342621717,CM PEDRES LES 14 JAVEA/XABIA (ALICANTE),OK,1
3966438BC5937S,0.166234203640203,38.7909695332726,CL DEL PATRAIX 16 JAVEA/XABIA (ALICANTE),OK,5
0004001BC5905N,0.162826779602183,38.8096436841002,CM COVA TALLADA 5 JAVEA/XABIA (ALICANTE),OK,1
0019019BC5950N,0.224063187070325,38.7532080700293,CL BARRACA LA 99 JAVEA/XABIA (ALICANTE),OK,12
2853611BC5925S,0.154522678561769,38.7701912002904,CL RIO GUADALOPE 10 JAVEA/XABIA (ALICANTE),OK,1
0176309BC5907N,0.121402020902797,38.7910013135109,CR DE JESUS POBRE 48 JAVEA/XABIA (ALICANTE),OK,1
0010046BC5905N,0.17616409009699,38.8043199662642,CR CAP DE SANT ANTONI 28 JAVEA/XABIA (ALICANTE),OK,1
0014009BC4955S,0.106126118932502,38.7787957267225,CR GATA 138 JAVEA/XABIA (ALICANTE),OK,1
3571622BC5936N,0.16104833915791,38.7835835284638,CM SORTETES 16 JAVEA/XABIA (ALICANTE),OK,10
03082A02000538,0.111483890974457,38.7770571248304,CR GATA 152 Polígono 20 Parcela 538 VALLS. JAVEA/XABIA (ALICANTE),OK,1
0025008BC5905S,0.175768272297844,38.7687396878748,CM BASSES 32 JAVEA/XABIA (ALICANTE),OK,1
6047226BC5964N,0.191373374391162,38.7645728963058,CL METEORA 5 JAVEA/XABIA (ALICANTE),OK,11
3664313BC5937S,0.162328075593083,38.7889548796223,CL SANT PERE MARTIR 4 JAVEA/XABIA (ALICANTE),OK,3
0176303BC5907N,0.123105058871064,38.7908655483744,CR DE JESUS POBRE 175 JAVEA/XABIA (ALICANTE),OK,1
0015002BC5905S,0.173311545557439,38.780114534272,CL SENIA VELLA LA 7 JAVEA/XABIA (ALICANTE),OK,1
3373001BC5937S,0.158204197513095,38.788117173027,CL TEULERIA DE LA 15 JAVEA/XABIA (ALICANTE),OK,2
0020008BC5905S,0.169100921675758,38.7748883944124,SD RECTORS ELS 11 JAVEA/XABIA (ALICANTE),OK,1
0025004BC5905S,0.176729330079813,38.7701693788888,CM BASSES 17 JAVEA/XABIA (ALICANTE),OK,1
0024015BC5900N,0.163548827112205,38.7465593304519,CL LAGO BALATON 6 JAVEA/XABIA (ALICANTE),OK,1
5180407BC5958S,,,,SIN_COORDENADAS,
0025014BC5905S,0.169862191882276,38.7715618563591,SD RECTORS ELS 17 JAVEA/XABIA (ALICANTE),OK,1
0011003BC5955N,0.181015008316226,38.8038063699888,CR CAP DE SANT ANTONI 142 JAVEA/XABIA (ALICANTE),OK,1
0017004BC5950S,0.19452408767369,38.7312585917524,CM ANCLA 4 JAVEA/XABIA (ALICANTE),OK,12
0009010BC5905N,0.161960620574801,38.8040005927195,CM COVA TALLADA 2 JAVEA/XABIA (ALICANTE),OK,1
3051713BC5925S,0.155896599485203,38.769297070231,CL RIO GUADALOPE 13 JAVEA/XABIA (ALICANTE),OK,1
0015007BC5905S,0.173599348604836,38.7769458143886,CM POU DEL MORO 9 JAVEA/XABIA (ALICANTE),OK,1
0015027BC5905S,0.17367210654853,38.7767677498768,CM POU DEL MORO 11 JAVEA/XABIA (ALICANTE),OK,1
3664301BC5937S,0.162007322135529,38.7890749250906,CL SANTA LLUCIA 4(D) JAVEA/XABIA (ALICANTE),OK,3
4281604BC5948S,0.167464763342565,38.7955293432412,CL ALBERIC 6 JAVEA/XABIA (ALICANTE),OK,1
0020006BC5900N,0.171392661977146,38.7498926740619,CL ANTONIO CLAVE 2 JAVEA/XABIA (ALICANTE),OK,12
4977311BC5947N,0.1776699799743,38.7932436155495,AV BOTANIC CABANILLES 13 JAVEA/XABIA (ALICANTE),OK,6
3661304BC5937S,0.160798494418665,38.7862855487369,CL DE LA FONT 17 JAVEA/XABIA (ALICANTE),OK,10
3976203BC5937N,0.165400715922354,38.790944526053,CL DE CERVANTES 5 JAVEA/XABIA (ALICANTE),OK,5
7019202BC5971N,0.203467059347172,38.7402565320942,CR GUARDIA LA 581 JAVEA/XABIA (ALICANTE),OK,12
