REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
4977311BC5947N,0.1776699799743,38.7932436155495,AV BOTANIC CABANILLES 13 JAVEA/XABIA (ALICANTE),OK,6
3965701BC5937S,0.164475497955719,38.7898632010673,AV D'ALACANT 2 JAVEA/XABIA (ALICANTE),OK,5
5279507BC5957N,0.180730480533079,38.7939958664599,CL DOCTOR FLEMING 2 JAVEA/XABIA (ALICANTE),OK,6
3664211BC5937S,0.162362902516152,38.7893011412128,CL SOR CATERINA BAS 2 JAVEA/XABIA (ALICANTE),OK,3
5454103BC5955S,0.183622880358693,38.7726366544778,CL SAINT TROPEZ 4 JAVEA/XABIA (ALICANTE),OK,11
5555101BC5955N,0.184858350097834,38.7729232124895,CR CABO DE LA NAO PLA 122 JAVEA/XABIA (ALICANTE),OK,11
5482705BC5958S,0.182026962213694,38.7966613918081,CL CHURRUCA 20 JAVEA/XABIA (ALICANTE),OK,6
5227007BC5957N,0.180580380081581,38.7918830767814,AV LEPANTO 16 JAVEA/XABIA (ALICANTE),OK,6
3767404BC5937N,0.163817949996286,38.790916269637,CL DEL MESTRE ANGEL RIBES 8 JAVEA/XABIA (ALICANTE),OK,4
3562821BC5937S,0.160281640666136,38.7870883178414,CL DE JESUS DE NATZARE 20 JAVEA/XABIA (ALICANTE),OK,10
7043231BC5974S,0.202703531714399,38.7620886906488,CL NICOSIA 11 JAVEA/XABIA (ALICANTE),OK,12
5758403BC5955N,0.188207689775463,38.7747031671757,CL CANAL SUR 1 JAVEA/XABIA (ALICANTE),OK,11
5754101BC5955S,0.186669230540149,38.7720422231866,AV ARENAL 6 JAVEA/XABIA (ALICANTE),OK,11
5853901BC5955S,0.188455574623046,38.7714156698425,CL RENNES 5 UE ARENAL 3  3A JAVEA/XABIA (ALICANTE),OK,11
5564502BC5956S,0.18433311772636,38.7802625306337,AV AUGUSTA 47 JAVEA/XABIA (ALICANTE),OK,7
5376604BC5957S,0.180585107304842,38.7901293518108,AV MEDITERRANEO 12 JAVEA/XABIA (ALICANTE),OK,7
3562813BC5937S,0.160774111603708,38.7873888608928,CL DE JESUS DE NATZARE 4 JAVEA/XABIA (ALICANTE),OK,10
3662808BC5937S,0.161644856931598,38.7876426506314,CL MAJOR 57 JAVEA/XABIA (ALICANTE),OK,9
4575001BC5947N,0.172275669005073,38.7904276984794,CR CABO DE LA NAO PLA 20 JAVEA/XABIA (ALICANTE),OK,8
5481301BC5958S,0.183056422655725,38.7961503619982,PZ ADOLFO SUAREZ 14 JAVEA/XABIA (ALICANTE),OK,6
6749502BC5964N,0.197890610011584,38.7679136485808,CL LARISSA 5 EDIF. BERMEO JAVEA/XABIA (ALICANTE),OK,11
5762013BC5956S,0.18670516320716,38.778850735432,AV MEDITERRANEO 90(A) JAVEA/XABIA (ALICANTE),OK,11
5378410BC5957N,0.181736584146657,38.7924942525335,AV MARINA ESPAÑOLA 20 JAVEA/XABIA (ALICANTE),OK,6
5279801BC5957N,0.179648592374251,38.7942576740152,CL SERTORIO 2 JAVEA/XABIA (ALICANTE),OK,6
5381803BC5958S,0.180976874199302,38.7955035743272,CL SANTISIMO CRISTO DEL MAR 18 JAVEA/XABIA (ALICANTE),OK,6
3666413BC5937S,0.162623497694588,38.7888291724848,CL CUPS 2 JAVEA/XABIA (ALICANTE),OK,3
5481004BC5958S,0.182221582870402,38.7956937163939,CL PIO X 8 JAVEA/XABIA (ALICANTE),OK,6
5328602BC5957N,0.181278785766043,38.7931121399953,CL ANTONI LLIDO 1 JAVEA/XABIA (ALICANTE),OK,6
5279802BC5957N,0.179558897211377,38.794161810689,AV LEPANTO 3 JAVEA/XABIA (ALICANTE),OK,6
5179501BC5957N,0.179178545730719,38.7946893051321,AV LEPANTO 1 JAVEA/XABIA (ALICANTE),OK,6
5481710BC5958S,0.181732788571285,38.7956347099064,CL PIO X 1 JAVEA/XABIA (ALICANTE),OK,6
5482607BC5958S,0.182054946483123,38.7963751213752,CL CHURRUCA 5 JAVEA/XABIA (ALICANTE),OK,6
5656503BC5955N,0.186338658363514,38.7733523293028,AV PARIS 6 JAVEA/XABIA (ALICANTE),OK,11
5656508BC5955N,0.185497543612884,38.7732160187718,AV PARIS 10 JAVEA/XABIA (ALICANTE),OK,11
6645152BC5964S,0.197398279741131,38.7613485820302,PD PORTITXOL 59 JAVEA/XABIA (ALICANTE),OK,11
5278204BC5957N,0.180771014600981,38.7934207911956,AV LEPANTO 11 JAVEA/XABIA (ALICANTE),OK,6
7293009BC5974S,0.203268238380091,38.7614920991695,CM CALABLANCA 24 JAVEA/XABIA (ALICANTE),OK,12
2779307BC5928S,0.154176651633094,38.7944757338226,CL MIERES 23 JAVEA/XABIA (ALICANTE),OK,2
3576406BC5937N,0.16139480348065,38.7906338630626,CL DE FEDERICO GARCIA LORCA 3 JAVEA/XABIA (ALICANTE),OK,4
5454113BC5955S,0.183866259204287,38.7713617524326,UR ISLA LA 1(D) JAVEA/XABIA (ALICANTE),OK,11
4575002BC5947S,0.172323696664273,38.7901129062001,CL JOSE LUIS BORGES 7 JAVEA/XABIA (ALICANTE),OK,8
5947601BC5954N,0.188914973131142,38.7651052095906,CR CABO DE LA NAO PLA 170 JAVEA/XABIA (ALICANTE),OK,11
5178002BC5957N,0.179837279412953,38.7929509298312,AV LEPANTO 8 JAVEA/XABIA (ALICANTE),OK,6
5379507BC5957N,0.181330218449857,38.7934951053716,CL VIRGEN DEL LORETO 16 JAVEA/XABIA (ALICANTE),OK,6
4475723BC5947N,0.17028503943347,38.7899289169812,CL DEL GUITARRISTA TARREGA 25 JAVEA/XABIA (ALICANTE),OK,8
4372807BC5947S,0.170913813157885,38.7875791282505,CL DE JOSE DE ESPRONCEDA 17 JAVEA/XABIA (ALICANTE),OK,8
5658008BC5955N,0.185311960200499,38.7744938488488,AV FONTANA 54 JAVEA/XABIA (ALICANTE),OK,11
5656507BC5955N,0.185746270892519,38.7733618388299,AV PARIS 8 JAVEA/XABIA (ALICANTE),OK,11
3877247BC5937N,0.166070503717991,38.7919477503802,CL DEL CASTELL DE SANTA BÀRB 6 JAVEA/XABIA (ALICANTE),OK,5
5658009BC5955N,0.184419654915405,38.7749126248356,CR CABO DE LA NAO PLA 125 JAVEA/XABIA (ALICANTE),OK,11
6352010BC5965S,0.192850678222882,38.7706261450226,AV LIBERTAD LA 36 JAVEA/XABIA (ALICANTE),OK,11
5656510BC5955N,0.186351643253785,38.7742664624203,AV PARIS 2(D) JAVEA/XABIA (ALICANTE),OK,11
5656511BC5955N,0.186358608736132,38.7740658114407,AV PARIS 2 JAVEA/XABIA (ALICANTE),OK,11
5656512BC5955N,0.186364808273737,38.7738875753269,AV PARIS 4(D) JAVEA/XABIA (ALICANTE),OK,11
5656513BC5955N,0.186372587249406,38.7736662223891,AV PARIS 4 JAVEA/XABIA (ALICANTE),OK,11
3863504BC5937S,0.16426273202708,38.7876102215049,CL DEL CRONISTA MOSSEN FEBRE 15 JAVEA/XABIA (ALICANTE),OK,9
5658007BC5955N,0.185547150880965,38.7749460218877,AV FONTANA 14 JAVEA/XABIA (ALICANTE),OK,11
5382901BC5958S,0.181508563261514,38.7967368991645,CL FRAY JAIME IBAÑEZ 2(A) JAVEA/XABIA (ALICANTE),OK,6
4778301BC5947N,0.175270313201429,38.7931033288953,AV PORT 20 JAVEA/XABIA (ALICANTE),OK,7
4775402BC5947N,0.175157815970315,38.7909811733952,CL OVIDI MONTLLOR 16(D) JAVEA/XABIA (ALICANTE),OK,7
6947805BC2964N,0.199952591076701,38.7666635036142,CL ARENAL-MONTAÑAR 121 JAVEA/XABIA (ALICANTE),OK,11
5075302BC5957N,0.178447970459666,38.7913164131267,AV FURS 17 JAVEA/XABIA (ALICANTE),OK,6
4471422BC5947S,0.171739360317244,38.7871988458602,CL DE JOSE DE ESPRONCEDA 26 JAVEA/XABIA (ALICANTE),OK,8
7145004BC5974S,0.203690680626248,38.7637871798293,CL ARENAL-MONTAÑAR 106 JAVEA/XABIA (ALICANTE),OK,11
5454114BC5955S,0.184069488230405,38.7707095099841,UR ISLA LA 2 JAVEA/XABIA (ALICANTE),OK,11
5656509BC5955N,0.185518404284242,38.772995701945,AV PARIS 10 JAVEA/XABIA (ALICANTE),OK,11
3564806BC5937S,0.160807515853058,38.7892743206613,CL DE CARLOS BENIMELI 4 JAVEA/XABIA (ALICANTE),OK,3
4372801BC5947S,0.170386473326172,38.7878789716544,CL DE FERNAN CABALLERO 10 JAVEA/XABIA (ALICANTE),OK,8
3564531BC5937S,0.160306269189941,38.7888524797479,CL DE CARLOS BENIMELI 9 JAVEA/XABIA (ALICANTE),OK,3
3762216BC5937S,0.16398306778989,38.7876552322653,CL DE GABRIEL MIRO 8 JAVEA/XABIA (ALICANTE),OK,9
4876901BC5947N,0.175949766569152,38.7912097070667,AV FURS 30 JAVEA/XABIA (ALICANTE),OK,7
4165022BC5947S,0.167690182367135,38.7900783483448,CL DE JUAN RAMON JIMENEZ 10 JAVEA/XABIA (ALICANTE),OK,8
4871009BC5947S,0.17663854672289,38.7866547814099,CL MILAN 4 JAVEA/XABIA (ALICANTE),OK,7
5469003BC5956N,0.183412372362633,38.7850462499539,PD MT MONTAÑAR I 38 JAVEA/XABIA (ALICANTE),OK,7
5272702BC5957S,0.180119746091018,38.7875549691711,AV AUGUSTA 9 JAVEA/XABIA (ALICANTE),OK,7
5380316BC5958S,0.181657175049434,38.7951116972465,PZ ADOLFO SUAREZ 3 JAVEA/XABIA (ALICANTE),OK,6
4873902BC5947S,0.176456415639778,38.7891145080615,CL VALL DE GALLINERA 5 JAVEA/XABIA (ALICANTE),OK,7
3471402BC5937S,0.160346310572385,38.7860721142104,AV DE VALÈNCIA 3 JAVEA/XABIA (ALICANTE),OK,10
7043226BC5974S,0.203671843368899,38.7626458682571,CL ATENAS 114 JAVEA/XABIA (ALICANTE),OK,11
5328606BC5957N,0.181247637727724,38.7926760590135,AV LEPANTO 21 JAVEA/XABIA (ALICANTE),OK,6
4877001BC5947N,0.17559940835342,38.7922188308861,AV AUSIAS MARCH 4 JAVEA/XABIA (ALICANTE),OK,7
3964310BC5937S,0.165538699151413,38.7891898974203,CL DEL MESTRE JESUS MONTANER 2 JAVEA/XABIA (ALICANTE),OK,8
5381213BC5958S,0.181141431941397,38.7960714388498,CL CAPITAN PEDRO SOLER 3 JAVEA/XABIA (ALICANTE),OK,6
3976204BC5937N,0.165446926372796,38.7909723153641,CL DE CERVANTES 7 JAVEA/XABIA (ALICANTE),OK,5
4875802BC5947N,0.17602604280234,38.7898301581583,CL VALL DE GALLINERA 3 JAVEA/XABIA (ALICANTE),OK,7
4064111BC5947S,0.166428798754686,38.78923240388,AV TRENC D'ALBA DEL 7 JAVEA/XABIA (ALICANTE),OK,8
5179502BC5957N,0.179532668296772,38.7947300234814,CL ANDRES LAMBERT 22 JAVEA/XABIA (ALICANTE),OK,6
5658011BC5955N,0.185087456726897,38.7747534026186,CR CABO DE LA NAO PLA 129 JAVEA/XABIA (ALICANTE),OK,11
4176508BC5947N,0.167708145736562,38.7908594374697,CL DE L'ARQUITECTE URTEAGA 32 JAVEA/XABIA (ALICANTE),OK,8
5560001BC5955N,0.185118248112787,38.7764084444636,AV AUGUSTA 74 JAVEA/XABIA (ALICANTE),OK,11
3865602BC5937S,0.163714204251864,38.7898410163289,CL ROQUES 5 JAVEA/XABIA (ALICANTE),OK,4
6352001BC5965S,0.193206955870493,38.7703331650695,CL ATENAS 27 JAVEA/XABIA (ALICANTE),OK,11
5382701BC5958S,0.182368042029331,38.7968025107399,CL CALETA LA 5 JAVEA/XABIA (ALICANTE),OK,6
6550301BC5965S,0.196728090035199,38.7689243497862,CL ARENAL-MONTAÑAR 36 JAVEA/XABIA (ALICANTE),OK,11
5855102BC5955N,0.187914042965684,38.7730490930039,AV LIBERTAD LA 46 JAVEA/XABIA (ALICANTE),OK,11
3763014BC5937S,0.163389855917486,38.7882537224324,CL AVALL D 17 JAVEA/XABIA (ALICANTE),OK,9
4176303BC5947N,0.168291205082389,38.7906736641384,CL DE THIVIERS 6 JAVEA/XABIA (ALICANTE),OK,8
4176301BC5947N,0.16808674805183,38.7909760115205,CL DE THIVIERS 2(D) JAVEA/XABIA (ALICANTE),OK,8
5280701BC5957N,0.180564874263514,38.7945721557907,AV REY JAIME I 12 JAVEA/XABIA (ALICANTE),OK,6
7339001BC5973N,0.204700942579528,38.759081247935,CR PORTITXOL 105(D) JAVEA/XABIA (ALICANTE),OK,12
5374708BC5957S,0.180365116708252,38.7891462606619,CL GENOVA 7 JAVEA/XABIA (ALICANTE),OK,7
5380704BC5957N,0.181505537393428,38.7947473948481,CL ANDRES LAMBERT 3 JAVEA/XABIA (ALICANTE),OK,6
6749501BC5964N,0.198204971461382,38.7672293603422,AV ULTRAMAR 58(C) JAVEA/XABIA (ALICANTE),OK,11
3663327BC5937S,0.162337833238935,38.7881932032922,CL MAJOR 30 JAVEA/XABIA (ALICANTE),OK,3
5859012BC5955N,0.186958187392401,38.7759148343914,AV AUGUSTA 69 JAVEA/XABIA (ALICANTE),OK,11
5658002BC5955N,0.18427309719692,38.7759145359982,CL BURDEOS 9 URB MORERAS DEL SALADAR JAVEA/XABIA (ALICANTE),OK,11
5180412BC5958S,0.18054811394963,38.7954403365606,CL SANTISIMO CRISTO DEL MAR 24 RESIDENCIAL JAVEA BLOQ-A JAVEA/XABIA (ALICANTE),OK,6
5279510BC5957N,0.180590311119099,38.7938516665147,CL SEVERO OCHOA 2 JAVEA/XABIA (ALICANTE),OK,6
5172002BC5957S,0.178584324939167,38.7873904857869,CL PESCARA 2 JAVEA/XABIA (ALICANTE),OK,7
5760101BC5956S,0.186187729322002,38.776992618889,AV AUGUSTA 59 JAVEA/XABIA (ALICANTE),OK,11
4347013BC5947N,0.169834083112385,38.7920140846659,AV DEL REI JUAN CARLOS I 56 JAVEA/XABIA (ALICANTE),OK,5
5764602BC5956S,0.185644433519787,38.7802745032536,AV MEDITERRANEO 170 JAVEA/XABIA (ALICANTE),OK,7
3770205BC5937S,0.163483424128408,38.7856180818749,CL DE SANDOVAL 8 JAVEA/XABIA (ALICANTE),OK,9
5380302BC5958S,0.180222681962805,38.7949350745498,CL SANTISIMO CRISTO DEL MAR 21 JAVEA/XABIA (ALICANTE),OK,6
6650704BC5964N,0.197098370935297,38.7680525703563,CL ARENAL-MONTAÑAR 71 JAVEA/XABIA (ALICANTE),OK,11
4474302BC5947S,0.171755547178861,38.7898845441745,CL JOSE LUIS BORGES 8 JAVEA/XABIA (ALICANTE),OK,8
5960704BC5956S,0.188226338190489,38.7776553501548,AV MEDITERRANEO 212 JAVEA/XABIA (ALICANTE),OK,11
5380303BC5957N,0.180517711790952,38.7949913001999,CL SANTISIMO CRISTO DEL MAR 19 JAVEA/XABIA (ALICANTE),OK,6
4169505BC5946N,0.170154169551054,38.7872571069682,CL DE JOSE DE ESPRONCEDA 7 JAVEA/XABIA (ALICANTE),OK,8
6352011BC5965S,0.194150682248062,38.7702498942367,CL RODAS 67(A) JAVEA/XABIA (ALICANTE),OK,11
5762001BC5956S,0.186411538190247,38.7797430609472,AV MEDITERRANEO 178 JAVEA/XABIA (ALICANTE),OK,11
4277208BC5947N,0.169613626763499,38.792516953663,AV DEL REI JUAN CARLOS I 69 JAVEA/XABIA (ALICANTE),OK,5
5856803BC5955N,0.187734416419711,38.7737047035595,AV LIBERTAD LA 6 JAVEA/XABIA (ALICANTE),OK,11
4378001BC5947N,0.170054402426127,38.7927644018105,AV DEL REI JUAN CARLOS I 71 JAVEA/XABIA (ALICANTE),OK,5
3675808BC5937N,0.161834728803242,38.7902438258253,CL DE LA PAU 7 JAVEA/XABIA (ALICANTE),OK,4
3768203BC5936N,0.163410825444768,38.7840569936551,AV DE RAMON LLIDO 38 JAVEA/XABIA (ALICANTE),OK,9
5379501BC5957N,0.181012059176216,38.794039873748,CL DOCTOR FLEMING 1 JAVEA/XABIA (ALICANTE),OK,6
3877248BC5937N,0.16571098875244,38.7915066688759,CL DEL CASTELL DE SANTA BÀRB 2 JAVEA/XABIA (ALICANTE),OK,4
5381215BC5958S,0.181139824969909,38.7958904034471,CL JUAN SEBASTIAN ELCANO 4 JAVEA/XABIA (ALICANTE),OK,6
4578307BC5947N,0.173988817960464,38.7940079314859,AV PORT 17 JAVEA/XABIA (ALICANTE),OK,6
5279505BC5957N,0.180553583382108,38.7940501551866,AV REY JAIME I 13 JAVEA/XABIA (ALICANTE),OK,6
5762020BC5956S,0.186399057230809,38.778393164464,CL SIRACUSA 2 JAVEA/XABIA (ALICANTE),OK,11
4977318BC5947N,0.177691958571332,38.7916495932101,AV FURS 39 JAVEA/XABIA (ALICANTE),OK,6
5380708BC5957N,0.181664269251648,38.7946896030446,PZ ADOLFO SUAREZ 7 JAVEA/XABIA (ALICANTE),OK,6
3965702BC5937S,0.164612471846877,38.7898693203492,AV D'ALACANT 4 JAVEA/XABIA (ALICANTE),OK,5
4177409BC5947N,0.168374807057895,38.7919569002231,AV DEL REI JUAN CARLOS I 51 JAVEA/XABIA (ALICANTE),OK,5
6944601BC5964S,0.200552699558563,38.7626668179848,UR PARQUE CALABLANCA 138 JAVEA/XABIA (ALICANTE),OK,11
3761406BC5937S,0.163777702573521,38.7861124518083,AV PALMELA DE 19 JAVEA/XABIA (ALICANTE),OK,9
3664002BC5937S,0.16181794760236,38.7892346508375,CL SANTA LLUCIA 9(D) JAVEA/XABIA (ALICANTE),OK,3
5662001BC5956S,0.185386821420138,38.7787255388348,CL FLORENCIA 3 JAVEA/XABIA (ALICANTE),OK,11
5381102BC5958S,0.180827501277763,38.7956567292249,CL JUAN SEBASTIAN ELCANO 9 JAVEA/XABIA (ALICANTE),OK,6
6451301BC5965S,0.195651222646228,38.7699275459736,AV ULTRAMAR 124(A) JAVEA/XABIA (ALICANTE),OK,11
5278202BC5957N,0.18055642274713,38.793517234158,CL DOCTOR FLEMING 6 JAVEA/XABIA (ALICANTE),OK,6
5562001BC5956S,0.184822790452746,38.7797295440942,CL FLORENCIA 6 JAVEA/XABIA (ALICANTE),OK,7
3663325BC5937S,0.162087888110231,38.7881970386505,CL VERGE DEL PILAR 4 JAVEA/XABIA (ALICANTE),OK,3
3776012BC5937N,0.162769352846845,38.7912699928542,CL DE LA MARE DEU DELS ANGEL 25 JAVEA/XABIA (ALICANTE),OK,4
3473820BC5937S,0.15931895800723,38.7889535115392,CL DEL METGE JOSE BOVER 5 JAVEA/XABIA (ALICANTE),OK,2
4478607BC5947N,0.170504461661254,38.792937386431,CL DEL PARADIS 4 JAVEA/XABIA (ALICANTE),OK,5
4174412BC5947S,0.169132761115682,38.7894925044367,AV TRENC D'ALBA DEL 29 JAVEA/XABIA (ALICANTE),OK,8
3864117BC5937S,0.164390741870966,38.7889734596223,CL ROQUES 35 JAVEA/XABIA (ALICANTE),OK,4
3562010BC5937S,0.161054465464811,38.7873033329291,RD DE COLON 12 JAVEA/XABIA (ALICANTE),OK,10
4347004BC5947N,0.169041587982819,38.7918402727681,AV DEL REI JUAN CARLOS I 38 JAVEA/XABIA (ALICANTE),OK,5
