N_Fijo,CODIGO_VT,Ref_Catastral_Fin,AFORO,VALORCATASTRAL,COEFICIENTE_CATASTRAL,TASA_VIVIENDA,PLUS_VIVIENDA_TURISTICA,TASA_TOTAL,VALORCATASTRAL_NUM,COEFICIENTE_CATASTRAL_NUM,TASA_VIVIENDA_NUM,TASA_TOTAL_NUM,FINCA,HOJA,INMUEBLE,CONTROL,HOJA_BASE,ZONA
1013798,455442,5373001BC5957S0032AS,0,"27.061,66","0,472","129,24",80,"209,24",27061.66,0.472,129.24,209.24,5373001,BC5957S,0032,AS,BC5957,Arenal / Canal / Montañar
1022500,481707,5652204BC5955S0019OJ,0,"38.671,31","0,674","131,07",80,"211,07",38671.31,0.674,131.07,211.07,5652204,BC5955S,0019,OJ,BC5955,Arenal / Canal / Montañar
1025842,502455,5457312BC5955N0028DG,0,"40.404,11","0,704","131,34",80,"211,34",40404.11,0.704,131.34,211.34,5457312,BC5955N,0028,DG,BC5955,Arenal / Canal / Montañar
1011245,496243,5960704BC5956S0015EU,0,"40.890,35","0,713","131,41",80,"211,41",40890.35,0.713,131.41,211.41,5960704,BC5956S,0015,EU,BC5956,Arenal / Canal / Montañar
1012640,496184,4835003BC5943S0001IP,0,"47.562,81","0,829","132,46",80,"212,46",47562.81,0.829,132.46,212.46,4835003,BC5943S,0001,IP,BC5943,Casco urbano / Pueblo
1012097,502429,1526101BC5912N0001KL,0,"51.604,15","0,899","133,09",80,"213,09",51604.15,0.899,133.09,213.09,1526101,BC5912N,0001,KL,BC5912,Montgó / Toscamar
1020225,501793,5859008BC5955N0035BL,0,"53.158,30","0,926","133,34",80,"213,34",53158.3,0.926,133.34,213.34,5859008,BC5955N,0035,BL,BC5955,Arenal / Canal / Montañar
1026516,502454,5750201BC5955S0036ZT,0,"55.801,76","0,972","133,75",80,"213,75",55801.76,0.972,133.75,213.75,5750201,BC5955S,0036,ZT,BC5955,Arenal / Canal / Montañar
1013882,501792,0881252BC5908S0001AP,0,"58.987,32","1,028","134,25",80,"214,25",58987.32,1.028,134.25,214.25,0881252,BC5908S,0001,AP,BC5908,Montgó / Toscamar
1016463,506966,6734802BC5963S0001FK,0,"66.925,84","1,166","135,50",80,"215,50",66925.84,1.166,135.5,215.5,6734802,BC5963S,0001,FK,BC5963,Puerto / Aduanas
1010613,497205,2877424BC5927N0001UH,0,"67.230,17","1,172","135,55",80,"215,55",67230.17,1.172,135.55,215.55,2877424,BC5927N,0001,UH,BC5927,Rafalet / Lluca / Covatelles
1005980,495844,7633618BC5973S0001QX,0,"70.256,32","1,224","136,02",80,"216,02",70256.32,1.224,136.02,216.02,7633618,BC5973S,0001,QX,BC5973,Tosalet / Cap Martí
1004144,496174,9021604BC5982S0001MO,0,"98.857,64","1,723","140,51",80,"220,51",98857.64,1.723,140.51,220.51,9021604,BC5982S,0001,MO,BC5982,Costa Nova / Balcón al Mar / Ambolo
1003714,502405,8410103BC5981S0001QG,0,"99.897,17","1,741","140,67",80,"220,67",99897.17,1.741,140.67,220.67,8410103,BC5981S,0001,QG,BC5981,Portitxol / Toscal / Trencall
1004220,502420,8919726BC5981N0001XU,0,"101.678,00","1,772","140,95",80,"220,95",101678.0,1.772,140.95,220.95,8919726,BC5981N,0001,XU,BC5981,Portitxol / Toscal / Trencall
